participantId,format,task,difficulty,confidence
56cb8858edf8da000b6df354,hjson,modifying-task-tabular,1.5,6.75
56cb8858edf8da000b6df354,hjson,reading-task-tabular,1.0,7.0
57c357770e6a1f00015f6038,json,modifying-task-tabular,6.0,2.75
57c357770e6a1f00015f6038,json,reading-task-tabular,4.6,7.0
5b68c9eb87af310001584803,json5,modifying-task-tabular,3.5,5.5
5b68c9eb87af310001584803,json5,reading-task-tabular,1.2,7.0
5c6414540821d30001046198,hjson,modifying-task-tabular,3.0,4.5
5c6414540821d30001046198,hjson,reading-task-tabular,2.4,6.2
5d30dfa68b1523000134878f,json,modifying-task-tabular,2.25,6.0
5d30dfa68b1523000134878f,json,reading-task-tabular,1.0,7.0
5d766978f47e6200019a2acf,yaml,modifying-task-tabular,1.75,5.5
5d766978f47e6200019a2acf,yaml,reading-task-tabular,1.2,7.0
5dafea4de40355001651fa2f,jsonc,modifying-task-tabular,5.0,2.25
5dafea4de40355001651fa2f,jsonc,reading-task-tabular,4.8,4.0
5e3b5fa9255e7a37bc841135,json,modifying-task-tabular,2.5,3.0
5e3b5fa9255e7a37bc841135,json,reading-task-tabular,1.0,6.8
5e8a5a892f6f027054a83d88,toml,modifying-task-tabular,2.0,4.0
5e8a5a892f6f027054a83d88,toml,reading-task-tabular,1.0,7.0
5ecc71c95c92c2000a9e9a19,jsonc,modifying-task-tabular,2.75,5.25
5ecc71c95c92c2000a9e9a19,jsonc,reading-task-tabular,1.0,7.0
5f29eff59714081a3594a331,json,modifying-task-tabular,3.0,5.25
5f29eff59714081a3594a331,json,reading-task-tabular,1.8,6.8
60721c2da01b3a616edba9a7,xml,modifying-task-tabular,6.0,5.25
60721c2da01b3a616edba9a7,xml,reading-task-tabular,2.8,5.8
607728dc0b4f8590b94ae57c,jsonc,modifying-task-tabular,2.25,5.75
607728dc0b4f8590b94ae57c,jsonc,reading-task-tabular,1.2,6.6
60a0b744298c64d46b63e893,hjson,modifying-task-tabular,4.0,4.25
60a0b744298c64d46b63e893,hjson,reading-task-tabular,2.4,6.2
60f1f1d4ac991a259b83f603,json,modifying-task-tabular,1.75,5.75
60f1f1d4ac991a259b83f603,json,reading-task-tabular,3.4,5.8
60fce3df91350150e2e88423,yaml,modifying-task-tabular,5.25,3.0
60fce3df91350150e2e88423,yaml,reading-task-tabular,1.0,6.6
61267b828ead584bcf092e35,hjson,modifying-task-tabular,3.75,6.0
61267b828ead584bcf092e35,hjson,reading-task-tabular,1.2,7.0
615200d54efc832849db2259,json,modifying-task-tabular,3.75,4.5
615200d54efc832849db2259,json,reading-task-tabular,1.6,6.4
62fd14d7b1e0729dc8aadb79,xml,modifying-task-tabular,1.75,6.0
62fd14d7b1e0729dc8aadb79,xml,reading-task-tabular,1.0,7.0
637d8ca00150ac6e71a34ec9,yaml,modifying-task-tabular,5.75,2.25
637d8ca00150ac6e71a34ec9,yaml,reading-task-tabular,2.4,5.8
63e5b3e89a3823139cb9d35e,toml,modifying-task-tabular,3.0,5.75
63e5b3e89a3823139cb9d35e,toml,reading-task-tabular,5.2,5.8
64275e53f51a5ed4f6b7d019,toml,modifying-task-tabular,2.5,5.5
64275e53f51a5ed4f6b7d019,toml,reading-task-tabular,1.0,7.0
64457bc906c125cebd4bf66b,json5,modifying-task-tabular,4.75,2.0
64457bc906c125cebd4bf66b,json5,reading-task-tabular,4.4,3.4
6501c0a2e788b5556c24569d,xml,modifying-task-tabular,5.75,5.75
6501c0a2e788b5556c24569d,xml,reading-task-tabular,5.8,6.0
6577a27da9f5297d49f38e6f,hjson,modifying-task-tabular,2.75,5.75
6577a27da9f5297d49f38e6f,hjson,reading-task-tabular,2.2,6.8
65be552ceed6a0595fa1feb5,json,modifying-task-tabular,2.75,6.0
65be552ceed6a0595fa1feb5,json,reading-task-tabular,5.0,4.6
65cf6d8a589a67afcab54e6f,hjson,modifying-task-tabular,1.0,7.0
65cf6d8a589a67afcab54e6f,hjson,reading-task-tabular,1.0,6.8
65fad673a546ab14baf2f8d3,json5,modifying-task-tabular,3.75,5.0
65fad673a546ab14baf2f8d3,json5,reading-task-tabular,1.8,5.8
66049694dfb8828a8f3dce70,yaml,modifying-task-tabular,4.75,5.0
66049694dfb8828a8f3dce70,yaml,reading-task-tabular,2.8,6.0
6606b31155457e4f162ecf5a,json5,modifying-task-tabular,4.5,6.75
6606b31155457e4f162ecf5a,json5,reading-task-tabular,2.8,7.0
66475d6f7b27e4443ef0d031,json,modifying-task-tabular,2.5,5.0
66475d6f7b27e4443ef0d031,json,reading-task-tabular,1.2,7.0
665c5d94303fdf202ac9ded0,toml,modifying-task-tabular,1.0,6.5
665c5d94303fdf202ac9ded0,toml,reading-task-tabular,1.4,6.6
6672d878f68b9e349b56e871,toml,modifying-task-tabular,4.5,3.75
6672d878f68b9e349b56e871,toml,reading-task-tabular,3.6,6.0
6675c40cdc52b37294f0514e,hjson,modifying-task-tabular,4.5,3.5
6675c40cdc52b37294f0514e,hjson,reading-task-tabular,2.2,5.6
66781db404eab5e142f849d9,jsonc,modifying-task-tabular,2.25,5.0
66781db404eab5e142f849d9,jsonc,reading-task-tabular,2.2,5.2
667971a555af1f83d3f29ae7,hjson,modifying-task-tabular,2.75,5.75
667971a555af1f83d3f29ae7,hjson,reading-task-tabular,2.0,6.2
667983594f7d5d70a78c6e5a,json,modifying-task-tabular,4.75,3.25
667983594f7d5d70a78c6e5a,json,reading-task-tabular,2.4,6.0
667ac09492ea0caadf488520,json,modifying-task-tabular,3.25,4.5
667ac09492ea0caadf488520,json,reading-task-tabular,3.8,4.2
667c18ace97ab6869cb1c50e,hjson,modifying-task-tabular,3.0,5.5
667c18ace97ab6869cb1c50e,hjson,reading-task-tabular,2.0,6.2
667c2175b570aa694ce2f63c,toml,modifying-task-tabular,4.5,6.0
667c2175b570aa694ce2f63c,toml,reading-task-tabular,3.2,5.8
6697c8b6d9d7baa7edd8c4d3,hjson,modifying-task-tabular,3.25,4.0
6697c8b6d9d7baa7edd8c4d3,hjson,reading-task-tabular,2.0,4.8
66992f58a7964f557fc75f58,toml,modifying-task-tabular,2.75,5.25
66992f58a7964f557fc75f58,toml,reading-task-tabular,1.4,6.4
