participantId,format,startTime,endTime,duration_sec,mental-demand,physical-demand,temporal-demand,performance,effort,frustration,task
56cb8858edf8da000b6df354,hjson,1746392601041,1746392648555,47.514,30,40,20,10,50,20,nasaltx
57c357770e6a1f00015f6038,json,1746385108000,1746385128866,20.866,100,90,99,74,92,86,nasaltx
5b68c9eb87af310001584803,json5,1746384720007,1746384734537,14.53,95,90,90,36,92,70,nasaltx
5c6414540821d30001046198,hjson,1747344100433,1747344133058,32.625,98,9,86,83,98,85,nasaltx
5d30dfa68b1523000134878f,json,1745931232960,1745931258924,25.964,96,5,79,20,95,87,nasaltx
5d766978f47e6200019a2acf,yaml,1745932030455,1745932106320,75.865,85,20,20,20,75,30,nasaltx
5dafea4de40355001651fa2f,jsonc,1745930961384,1745930990221,28.837,87,50,54,36,76,53,nasaltx
5e3b5fa9255e7a37bc841135,json,1746393658731,1746393756341,97.61,90,20,95,90,90,40,nasaltx
5e8a5a892f6f027054a83d88,toml,1746386302840,1746386338874,36.034,85,0,0,85,90,35,nasaltx
5ecc71c95c92c2000a9e9a19,jsonc,1746233273232,1746233314019,40.787,95,0,80,30,95,65,nasaltx
5f29eff59714081a3594a331,json,1746146787159,1746146822031,34.872,95,75,85,15,95,55,nasaltx
60721c2da01b3a616edba9a7,xml,1745933256835,1745933280650,23.815,100,100,100,60,100,100,nasaltx
607728dc0b4f8590b94ae57c,jsonc,1746386711769,1746386728415,16.646,70,2,80,80,98,38,nasaltx
60a0b744298c64d46b63e893,hjson,1746523135760,1746523168692,32.932,90,75,10,85,100,40,nasaltx
60f1f1d4ac991a259b83f603,json,1746233273880,1746233333421,59.541,100,100,0,100,100,0,nasaltx
60fce3df91350150e2e88423,yaml,1744921895472,1744921925929,30.457,81,50,70,15,88,70,nasaltx
61267b828ead584bcf092e35,hjson,1746237174120,1746237213142,39.022,100,97,99,14,100,82,nasaltx
615200d54efc832849db2259,json,1746388107336,1746388140072,32.736,95,55,65,90,100,80,nasaltx
62fd14d7b1e0729dc8aadb79,xml,1746489655733,1746489683416,27.683,80,10,55,35,65,50,nasaltx
637d8ca00150ac6e71a34ec9,yaml,1746147231340,1746147263769,32.429,100,0,75,25,99,85,nasaltx
63e5b3e89a3823139cb9d35e,toml,1746552061120,1746552137715,76.595,100,20,51,80,100,10,nasaltx
64275e53f51a5ed4f6b7d019,toml,1746145725185,1746145758660,33.475,100,10,0,90,90,0,nasaltx
64457bc906c125cebd4bf66b,json5,1746562427809,1746562451027,23.218,93,11,55,10,75,94,nasaltx
6501c0a2e788b5556c24569d,xml,1746527794713,1746527852233,57.52,65,10,15,15,76,34,nasaltx
6577a27da9f5297d49f38e6f,hjson,1746159445574,1746159508460,62.886,87,35,25,75,85,40,nasaltx
65be552ceed6a0595fa1feb5,json,1746385531821,1746385565631,33.81,99,91,85,5,100,97,nasaltx
65cf6d8a589a67afcab54e6f,hjson,1746385314628,1746385354151,39.523,5,5,0,0,0,0,nasaltx
65fad673a546ab14baf2f8d3,json5,1745932106163,1745932137658,31.495,85,80,85,80,85,75,nasaltx
66049694dfb8828a8f3dce70,yaml,1745931234875,1745931297647,62.772,100,55,70,20,95,20,nasaltx
6606b31155457e4f162ecf5a,json5,1746549863416,1746549897976,34.56,100,100,90,100,100,75,nasaltx
66475d6f7b27e4443ef0d031,json,1744922061933,1744922093089,31.156,99,3,58,22,67,46,nasaltx
665c5d94303fdf202ac9ded0,toml,1747340695496,1747340717875,22.379,45,15,10,65,70,40,nasaltx
6672d878f68b9e349b56e871,toml,1746146266826,1746146298458,31.632,98,98,97,98,99,99,nasaltx
6675c40cdc52b37294f0514e,hjson,1746235945130,1746235958400,13.27,82,86,39,66,96,68,nasaltx
66781db404eab5e142f849d9,jsonc,1746500536794,1746500577162,40.368,80,47,65,78,78,48,nasaltx
667971a555af1f83d3f29ae7,hjson,1746496305145,1746496346448,41.303,80,40,60,20,70,60,nasaltx
667983594f7d5d70a78c6e5a,json,1746147970496,1746148015231,44.735,100,100,100,55,98,56,nasaltx
667ac09492ea0caadf488520,json,1746491139098,1746491167698,28.6,98,95,52,50,96,65,nasaltx
667c18ace97ab6869cb1c50e,hjson,1746386862071,1746386887474,25.403,89,10,65,55,86,5,nasaltx
667c2175b570aa694ce2f63c,toml,1746396444068,1746396487978,43.91,90,90,25,20,89,65,nasaltx
6697c8b6d9d7baa7edd8c4d3,hjson,1745933947314,1745933980430,33.116,90,20,50,55,50,75,nasaltx
66992f58a7964f557fc75f58,toml,1744924482955,1744924492605,9.65,99,98,98,97,97,35,nasaltx
669a84e18da4349ece0ea67c,xml,1746531209853,1746531298992,89.139,100,30,100,0,100,35,nasaltx
669b961e1c9cf30a26bb57d2,xml,1746233104176,1746233137806,33.63,100,96,100,65,100,86,nasaltx
66a662a0a709312db9de01f2,jsonc,1746157842690,1746157869581,26.891,99,99,99,100,98,97,nasaltx
66a9285501ac98053902d481,toml,1746385168703,1746385192381,23.678,81,10,10,75,100,40,nasaltx
66b0d065329001a04e5ae671,json,1746526238335,1746526266920,28.585,81,71,88,66,78,32,nasaltx
66b246951b9aefec80b7158a,json,1746232500825,1746232575197,74.372,95,75,15,60,80,25,nasaltx
66bb6b7e0ccbed81f3ed30a8,xml,1746385638807,1746385660210,21.403,92,1,98,3,94,65,nasaltx
