participantId,task,format,response,start_time,end_time,duration_sec,help_count,correct_answer,correct
5755c957eb80c4000741a9ce,reading-task-config-1,json5,7.9.0,1747173207813,1747173232182,24.369,0,7.9.0,1
5755c957eb80c4000741a9ce,reading-task-config-2,json5,>=12,1747173236950,1747173254843,17.893,0,>=12,1
5755c957eb80c4000741a9ce,reading-task-config-3,json5,6,1747173258132,1747173269971,11.839,0,6,1
5755c957eb80c4000741a9ce,reading-task-config-4,json5,keywords,1747173273236,1747173351520,78.284,0,keywords,1
5755c957eb80c4000741a9ce,reading-task-config-5,json5,d3-delaunay,1747173357678,1747173382340,24.662,0,d3-delaunay,1
5795af044a84da00014c5df1,reading-task-config-1,json,7.9.0,1746767878414,1746767914879,36.465,0,7.9.0,1
5795af044a84da00014c5df1,reading-task-config-2,json,>=12,1746767921337,1746767957403,36.066,0,>=12,1
5795af044a84da00014c5df1,reading-task-config-3,json,6,1746767963594,1746767975352,11.758,0,6,1
5795af044a84da00014c5df1,reading-task-config-4,json,engines,1746767980314,1746768210006,229.692,0,keywords,0
5795af044a84da00014c5df1,reading-task-config-5,json,d3-delaunay,1746768216176,1746768258747,42.571,0,d3-delaunay,1
57ca4b09993b08000192297b,reading-task-config-1,xml,7.9.0,1747172985562,1747173007897,22.335,0,7.9.0,1
57ca4b09993b08000192297b,reading-task-config-2,xml,>=12,1747173015417,1747173034863,19.446,0,>=12,1
57ca4b09993b08000192297b,reading-task-config-3,xml,6,1747173039926,1747173122672,82.746,0,6,1
57ca4b09993b08000192297b,reading-task-config-4,xml,keywords,1747173127529,1747173178336,50.807,0,keywords,1
57ca4b09993b08000192297b,reading-task-config-5,xml,d3-delaunay,1747173185343,1747173234257,48.914,0,d3-delaunay,1
588ab33542c8e900019d02ae,reading-task-config-1,jsonc,7.9.0,1747422717051,1747422734704,17.653,0,7.9.0,1
588ab33542c8e900019d02ae,reading-task-config-2,jsonc,>=12,1747422739940,1747422768145,28.205,0,>=12,1
588ab33542c8e900019d02ae,reading-task-config-3,jsonc,6,1747422772496,1747422790370,17.874,0,6,1
588ab33542c8e900019d02ae,reading-task-config-4,jsonc,engines,1747422794217,1747422895266,101.049,0,keywords,0
588ab33542c8e900019d02ae,reading-task-config-5,jsonc,@rollup/plugin-json,1747422900301,1747422931726,31.425,0,d3-delaunay,0
589cd166b2a7180001f0527d,reading-task-config-1,jsonc,7.9.0,1747173973303,1747174026800,53.497,0,7.9.0,1
589cd166b2a7180001f0527d,reading-task-config-2,jsonc,d3,1747174039594,1747174153675,114.081,0,>=12,0
589cd166b2a7180001f0527d,reading-task-config-3,jsonc,6,1747174164168,1747174232922,68.754,0,6,1
589cd166b2a7180001f0527d,reading-task-config-4,jsonc,author,1747174241423,1747174369767,128.344,0,keywords,0
589cd166b2a7180001f0527d,reading-task-config-5,jsonc,d3-delaunay,1747174376732,1747174417487,40.755,0,d3-delaunay,1
5b3ec4332a5fbf00014eae57,reading-task-config-1,toml,7.9.0,1747346526402,1747346584585,58.183,0,7.9.0,1
5b3ec4332a5fbf00014eae57,reading-task-config-2,toml,>=12,1747346590463,1747346656200,65.737,0,>=12,1
