participantId,q7,q8,q9,q12,q13,q14,q10,q11,format,q10_months,q10_years
67895b7d6400163124042af7,no,no,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Used it a few times', 'JSON5': 'Used it a few times', 'HJSON': 'Used it a few times', 'YAML': 'Not familiar at all', 'TOML': 'Heard of it but never used', 'XML': 'Comfortable using it'}",['Prefer not to say.'],['Prefer not to say.'],8.0,Somewhat familiar,jsonc,8.0,0.67
659960f32faa4ff4b116de92,,This was a very mentally challenging but thoroughly enjoyable study. I really liked the tasks of modifying and writing TOML. ,High School,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,toml,0.0,0.0
5f7f239e9b204e05b6c36538,,,Master's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,json5,0.0,0.0
67b8636acd5ed420cc098b64,No thank you ,No,Master's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Heard of it but never used', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",72.0,Somewhat familiar,toml,72.0,6.0
57ca4b09993b08000192297b,,"I'm not exactly sure what I was supposed to do for the final request, which was to turn the ""collaborators"" into an array of objects with <name> tags. I might have gotten this one wrong, it has been a very long time since I touched XML.",Bachelor's,"{'JSON': 'Comfortable using it', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Used it a few times', 'TOML': 'Not familiar at all', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",120.0,Somewhat familiar,xml,120.0,10.0
67d1cc8044430e99a7d91b4a,,,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Used it a few times', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Comfortable using it', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",18.0,Somewhat familiar,toml,18.0,1.5
6693ce87e76d32ccf07fbcd8,"On the question with the chart where I had to write the xml code, it was very hard for me to see the value that was under engines which was starting with a ""p""",nothing,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",24.0,Not familiar at all,xml,24.0,2.0
680ebf035ab59d342f31726e,Yes. It takes a lot of analyzing and noticing the little details for you to get the concept.,The study was brain stimulating.,High School,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,hjson,0.0,0.0
67f0d86fabc081fdc410e828,I tried everything to the best of my ability,This was very difficult at times,PhD,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,yaml,0.0,0.0
6691809035e52ca9b2b0f39a,There were several answers that I think could be wrong. I did my best.,,Associate's ,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",2.5,Not familiar at all,yaml,2.5,0.21
678faf5b31008609fd85b185,,,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,json5,0.0,0.0
65e85a421f2dee53c62fbf45,"This Data Serialization formats are a first to me, so at some point I tried using a pen and paper to write down and figure out the answers as best as I could","The study was a learning curve which was intriguing and also interesting. I adjusted a bit but fell short a lot, if this was a school test I wouldn't expect outstanding results, but the challenge was fair with its brief explanations.",High School,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,json5,0.0,0.0
666b0b42bb6fa2822fa27a32,No,No,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Heard of it but never used', 'YAML': 'Comfortable using it', 'TOML': 'Heard of it but never used', 'XML': 'Expert'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",6.0,Not familiar at all,json5,6.0,0.5
6708da9c62672d0fe65b6683,i felt this quite hard but still tried my best at understanding it the best i could,,High School,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,jsonc,0.0,0.0
60f70af563ef757f65e750e0,"I tried to do it to the best of my abilities, but I have no prior coding or data categorization experience or knowledge. So when I get tasks like these I feel particularly out of my depth. But I was happy to participate and learn. ",,Some tertiary education,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,xml,0.0,0.0
670f9ddb0e32533c222c3031,,,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Used it a few times', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Used it a few times'}","['Dyslexia (e.g., difficulty reading or distinguishing symbols, such as ""b"" and ""d"").']","['No, I do not have any related conditions.']",3.0,Somewhat familiar,json,3.0,0.25
67d03135f855dd0ff0994265,,,PhD,"{'JSON': 'Heard of it but never used', 'JSONC': 'Used it a few times', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",24.0,Somewhat familiar,toml,24.0,2.0
674f479b2a4ef75e4551f258,,I just love the programming language so much JSON5 is a very easy language to learn and i have leraned alot through this study. Thanks alot.,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Heard of it but never used', 'JSON5': 'Comfortable using it', 'HJSON': 'Heard of it but never used', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",24.0,Somewhat familiar,json5,24.0,2.0
5ee4a14b578f8a000b384376,"I struggled with the final question on the collaborator's names and didn't have any idea what I needed to do despite reading the instructions multiple times, it was very frustrating.  ",,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['Color vision deficiency (CVD) (e.g., difficulty distinguishing colors like red and green).']",0.0,Not familiar at all,yaml,0.0,0.0
63af557b3d4f219c3226b7d6,I do apologise if my answers are low in quality. It is not to do with a lack of effort but a lack of understanding.  The help was a bit too simplistic when I was faced with the examples,Perhaps the help could be a bit more detailed or the examples before the test a bit more detailed. I thought I understood the initial tutorial but then the questions felt too hard thereafter.,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,yaml,0.0,0.0
65583ffa38bfc41805a553cd,I think the study was a bit technical but I hope I did well because I tried my best.,The study was a nice mental exercise. ,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Used it a few times', 'JSON5': 'Used it a few times', 'HJSON': 'Heard of it but never used', 'YAML': 'Comfortable using it', 'TOML': 'Comfortable using it', 'XML': 'Expert'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",18.0,Very familiar,hjson,18.0,1.5
66684d30d1a0d64a3a348c82,,,Master's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Used it a few times', 'TOML': 'Heard of it but never used', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",8.0,Somewhat familiar,yaml,8.0,0.67
60ec51c51a3158a50ded8a3e,,,Bachelor's,"{'JSON': 'Comfortable using it', 'JSONC': 'Not familiar at all', 'JSON5': 'Heard of it but never used', 'HJSON': 'Not familiar at all', 'YAML': 'Used it a few times', 'TOML': 'Not familiar at all', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",40.0,Very familiar,json5,40.0,3.33
671bdd06525adeea062a1d73,,"Nope, everything went well!",High School,"{'JSON': 'Comfortable using it', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Used it a few times', 'TOML': 'Heard of it but never used', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",38.0,Very familiar,json,38.0,3.17
6647e8618c77f7b938865d25,,,Master's,"{'JSON': 'Comfortable using it', 'JSONC': 'Used it a few times', 'JSON5': 'Comfortable using it', 'HJSON': 'Heard of it but never used', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Expert'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",48.0,Very familiar,json5,48.0,4.0
613a541cf948d295c1df8752,,,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,jsonc,0.0,0.0
5e5c993cd0394c474f7cc502,it wasn't an easy task but the challenge was engaging,,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Heard of it but never used', 'TOML': 'Used it a few times', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",4.0,Not familiar at all,toml,4.0,0.33
67c045fa5074c5500ca40e76,no,nothing,Bachelor's,"{'JSON': 'Comfortable using it', 'JSONC': 'Heard of it but never used', 'JSON5': 'Comfortable using it', 'HJSON': 'Used it a few times', 'YAML': 'Heard of it but never used', 'TOML': 'Used it a few times', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",24.0,Very familiar,xml,24.0,2.0
67d2eaf9d5996dc6be1c7072,"Not really,I just followed instructions to the best of my capabilities",NO,Master's,"{'JSON': 'Used it a few times', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",7.0,Somewhat familiar,xml,7.0,0.58
60e2ebb6ad1d5ee0e515a7c5,,I enjoyed the study it was a new experience for me. ,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,yaml,0.0,0.0
67153c0d669d191ab273b865,,,Bachelor's,"{'JSON': 'Heard of it but never used', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",4.0,Not familiar at all,yaml,4.0,0.33
67ab1d683813ed19603e1030,,,Master's,"{'JSON': 'Expert', 'JSONC': 'Comfortable using it', 'JSON5': 'Comfortable using it', 'HJSON': 'Comfortable using it', 'YAML': 'Expert', 'TOML': 'Used it a few times', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",63.0,Somewhat familiar,yaml,63.0,5.25
60e343946a7faddde88fbe3c,"The study was fun and all, It dint require much of a physical strength as you had to apply your mind according to your understanding of what instructions were telling you to do. I enjoyed completing this study and I learned something while doing so. ",No,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Heard of it but never used', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Heard of it but never used', 'TOML': 'Not familiar at all', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Somewhat familiar,yaml,0.0,0.0
67e0333064ddada0e2fc6f1e,No explanation I did my best in the study.,I don't have anything.,PhD,"{'JSON': 'Expert', 'JSONC': 'Expert', 'JSON5': 'Expert', 'HJSON': 'Comfortable using it', 'YAML': 'Expert', 'TOML': 'Expert', 'XML': 'Expert'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",3.0,Very familiar,yaml,3.0,0.25
5b3ec4332a5fbf00014eae57,"I don't want to explain my answers, don't know how to explain them.","I studied information technology in college for about 1.5 years but had to quit because of mental health issues. I don't program daily and work with languages now but have thought about getting back into programming in the future. I wasn't able to study much in college because of burnout so am not confident in my programming abilities, not at all. In my opinion, these kinds of tasks would be great to teach someone programming. I think I learned something.",Some college,"{'JSON': 'Used it a few times', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Used it a few times'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",24.0,Not familiar at all,toml,24.0,2.0
66912d7bf9d35c08f6919958,I think I did everything correct no explanation.,Nothing.,PhD,"{'JSON': 'Expert', 'JSONC': 'Used it a few times', 'JSON5': 'Used it a few times', 'HJSON': 'Expert', 'YAML': 'Expert', 'TOML': 'Expert', 'XML': 'Expert'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",4.0,Very familiar,json,4.0,0.33
6717980047b565ab5b849317,No,"It was quite challenging trying to remember the examples, yes the 'help' was there in he corner but one cannot always go nd check whether you actually did it accordingly but overall I managed.",PhD,"{'JSON': 'Heard of it but never used', 'JSONC': 'Used it a few times', 'JSON5': 'Not familiar at all', 'HJSON': 'Comfortable using it', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",6.0,Somewhat familiar,hjson,6.0,0.5
651b29ff3a6cadf518640abe,No,It seemed I missed one question and I hope that my task won't be rejected as I spent lots of efforts and time on it.,Bachelor's,"{'JSON': 'Not familiar at all', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",0.0,Not familiar at all,xml,0.0,0.0
6818ca1523ece90f671e3601,,,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Used it a few times', 'JSON5': 'Comfortable using it', 'HJSON': 'Comfortable using it', 'YAML': 'Comfortable using it', 'TOML': 'Expert', 'XML': 'Comfortable using it'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",36.0,Somewhat familiar,json,36.0,3.0
67c1dd323984fa84ae83e162,No,No,Bachelor's,"{'JSON': 'Used it a few times', 'JSONC': 'Heard of it but never used', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Heard of it but never used', 'TOML': 'Heard of it but never used', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",11.0,Somewhat familiar,jsonc,11.0,0.92
67d2a409ab3638e33fc417b9,,,Master's,"{'JSON': 'Used it a few times', 'JSONC': 'Not familiar at all', 'JSON5': 'Heard of it but never used', 'HJSON': 'Heard of it but never used', 'YAML': 'Used it a few times', 'TOML': 'Heard of it but never used', 'XML': 'Heard of it but never used'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",6.0,Somewhat familiar,hjson,6.0,0.5
66ec8f7ce843d25227820f97,,N/A,PhD,"{'JSON': 'Heard of it but never used', 'JSONC': 'Not familiar at all', 'JSON5': 'Not familiar at all', 'HJSON': 'Not familiar at all', 'YAML': 'Not familiar at all', 'TOML': 'Not familiar at all', 'XML': 'Not familiar at all'}","['No, I do not have any cognitive-related conditions.']","['No, I do not have any related conditions.']",9.0,Somewhat familiar,hjson,9.0,0.75
