participantId,format,quiz_key,num_wrong_attempts,wrong_choice_count,correct,task
5755c957eb80c4000741a9ce,json5,tutorial-json5,3,3,1.0,tutorial_quiz
5795af044a84da00014c5df1,json,tutorial-json,1,1,1.0,tutorial_quiz
57ca4b09993b08000192297b,xml,tutorial-xml,2,2,1.0,tutorial_quiz
588ab33542c8e900019d02ae,jsonc,tutorial-jsonc,2,2,1.0,tutorial_quiz
589cd166b2a7180001f0527d,jsonc,tutorial-jsonc,7,5,0.5,tutorial_quiz
5b3ec4332a5fbf00014eae57,toml,tutorial-toml,1,0,1.0,tutorial_quiz
5c4f5967aac8be0001716a65,xml,tutorial-xml,4,5,1.0,tutorial_quiz
5e5c993cd0394c474f7cc502,toml,tutorial-toml,3,4,1.0,tutorial_quiz
5ea90bb434d5e337e98c7edd,json5,tutorial-json5,4,4,1.0,tutorial_quiz
5ee4a14b578f8a000b384376,yaml,tutorial-yaml,4,4,1.0,tutorial_quiz
5f7f239e9b204e05b6c36538,json5,tutorial-json5,6,6,0.5,tutorial_quiz
5fb4fcd1fce53c30649dd704,xml,tutorial-xml,6,6,1.0,tutorial_quiz
606c7d27f4f3ae688332a55d,toml,tutorial-toml,3,4,1.0,tutorial_quiz
6081728972120aa7f9685791,json,tutorial-json,4,4,1.0,tutorial_quiz
6094ce8d0764c24f352d1fe5,hjson,tutorial-hjson,5,4,1.0,tutorial_quiz
60e2bf0aa568b97e8d525872,toml,tutorial-toml,7,10,0.5,tutorial_quiz
60e2ebb6ad1d5ee0e515a7c5,yaml,tutorial-yaml,6,3,0.5,tutorial_quiz
60e343946a7faddde88fbe3c,yaml,tutorial-yaml,3,3,1.0,tutorial_quiz
60ec51c51a3158a50ded8a3e,json5,tutorial-json5,0,0,1.0,tutorial_quiz
60f70af563ef757f65e750e0,xml,tutorial-xml,4,5,1.0,tutorial_quiz
60f7c71d1cffec381351b0b3,xml,tutorial-xml,3,3,1.0,tutorial_quiz
611d0afbb2a19acfd012545b,toml,tutorial-toml,7,8,0.5,tutorial_quiz
61287939bc5a971fc15333e4,json,tutorial-json,7,7,0.5,tutorial_quiz
613a541cf948d295c1df8752,jsonc,tutorial-jsonc,5,2,1.0,tutorial_quiz
61601e9a6b8306196d2a129c,hjson,tutorial-hjson,2,0,1.0,tutorial_quiz
616e5ae706e970fe0aff99b6,hjson,tutorial-hjson,1,1,1.0,tutorial_quiz
