participantId,task,format,response,start_time,end_time,duration_sec,help_count,correct_answer,correct
64457bc906c125cebd4bf66b,reading-task-tabular-1,json5,9,1746560020255.0,1746560035079.0,14.824,0,87,0
64457bc906c125cebd4bf66b,reading-task-tabular-2,json5,quiz2,1746560041376.0,1746560113842.0,72.466,0,quiz2,1
64457bc906c125cebd4bf66b,reading-task-tabular-3,json5,4,1746560124736.0,1746560149342.0,24.606,0,4,1
64457bc906c125cebd4bf66b,reading-task-tabular-4,json5,Bob,1746560157160.0,1746560183570.0,26.41,0,Bob,1
64457bc906c125cebd4bf66b,reading-task-tabular-5,json5,['Eve'],1746560189284.0,1746560285710.0,96.426,0,"[Bob, Alice], [Eve]",1
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-1,hjson,87,1745932019678.0,1745932085734.0,66.056,0,87,1
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-2,hjson,quiz2,1745932093752.0,1745932180509.0,86.757,0,quiz2,1
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-3,hjson,4,1745932198203.0,1745932225018.0,26.815,0,4,1
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-4,hjson,Bob,1745932235588.0,1745932265601.0,30.013,0,Bob,1
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-5,hjson,"['Bob', 'Eve']",1745932275492.0,1745932558730.0,283.238,0,"[Bob, Alice], [Eve]",0
67e25388d573ec2d5f1c8442,reading-task-tabular-1,yaml,87,1746146460986.0,1746146564264.0,103.278,0,87,1
67e25388d573ec2d5f1c8442,reading-task-tabular-2,yaml,quiz1,1746146571775.0,1746146663763.0,91.988,0,quiz2,0
67e25388d573ec2d5f1c8442,reading-task-tabular-3,yaml,4,1746146670830.0,1746146712838.0,42.008,0,4,1
67e25388d573ec2d5f1c8442,reading-task-tabular-4,yaml,Bob,1746146717813.0,1746146761811.0,43.998,0,Bob,1
67e25388d573ec2d5f1c8442,reading-task-tabular-5,yaml,"['Bob', 'Alice']",1746146768133.0,1746146822026.0,53.893,0,"[Bob, Alice], [Eve]",1
67e5cf90b79d0874e1cf16b0,reading-task-tabular-1,toml,87,1746144743732.0,1746145134356.0,390.624,0,87,1
67e5cf90b79d0874e1cf16b0,reading-task-tabular-2,toml,quiz2,1746145142676.0,1746145567173.0,424.497,0,quiz2,1
67e5cf90b79d0874e1cf16b0,reading-task-tabular-3,toml,4,1746145576436.0,1746145610847.0,34.411,0,4,1
67e5cf90b79d0874e1cf16b0,reading-task-tabular-4,toml,Bob,1746145614451.0,1746145664079.0,49.628,0,Bob,1
67e5cf90b79d0874e1cf16b0,reading-task-tabular-5,toml,"['Bob', 'Alice']",1746145671931.0,1746145741814.0,69.883,0,"[Bob, Alice], [Eve]",1
67d00f24466a67ba7e41228e,reading-task-tabular-1,toml,87,1745930068030.0,1745930169407.0,101.377,0,87,1
67d00f24466a67ba7e41228e,reading-task-tabular-2,toml,quiz2,1745930176214.0,1745930322202.0,145.988,0,quiz2,1
67d00f24466a67ba7e41228e,reading-task-tabular-3,toml,4,1745930326486.0,1745930380081.0,53.595,0,4,1
67d00f24466a67ba7e41228e,reading-task-tabular-4,toml,Bob,1745930384273.0,1745930487581.0,103.308,0,Bob,1
67d00f24466a67ba7e41228e,reading-task-tabular-5,toml,['Eve'],1745930492806.0,1745930597246.0,104.44,0,"[Bob, Alice], [Eve]",1
66475d6f7b27e4443ef0d031,reading-task-tabular-1,json,87,1744921264863.0,1744921364727.0,99.864,0,87,1
66475d6f7b27e4443ef0d031,reading-task-tabular-2,json,quiz2,1744921373275.0,1744921392962.0,19.687,0,quiz2,1
66475d6f7b27e4443ef0d031,reading-task-tabular-3,json,4,1744921396937.0,1744921411248.0,14.311,0,4,1
66475d6f7b27e4443ef0d031,reading-task-tabular-4,json,Bob,1744921416628.0,1744921440035.0,23.407,0,Bob,1
66475d6f7b27e4443ef0d031,reading-task-tabular-5,json,"['Bob', 'Alice']",1744921444515.0,1744921474164.0,29.649,0,"[Bob, Alice], [Eve]",1
6672d878f68b9e349b56e871,reading-task-tabular-1,toml,87,1746144243981.0,1746144348878.0,104.897,0,87,1
6672d878f68b9e349b56e871,reading-task-tabular-2,toml,quiz2,1746144358172.0,1746144438742.0,80.57,0,quiz2,1
6672d878f68b9e349b56e871,reading-task-tabular-3,toml,4,1746144457639.0,1746144570801.0,113.162,0,4,1
6672d878f68b9e349b56e871,reading-task-tabular-4,toml,Bob,1746144580314.0,1746144715207.0,134.893,0,Bob,1
6672d878f68b9e349b56e871,reading-task-tabular-5,toml,"['Bob', 'Alice']",1746144722404.0,1746144850362.0,127.958,0,"[Bob, Alice], [Eve]",1
67f5bb69760b211cdfe8021c,reading-task-tabular-1,jsonc,87,1746149829980.0,1746149858304.0,28.324,0,87,1
67f5bb69760b211cdfe8021c,reading-task-tabular-2,jsonc,quiz2,1746149867264.0,1746149900161.0,32.897,0,quiz2,1
67f5bb69760b211cdfe8021c,reading-task-tabular-3,jsonc,4,1746149909189.0,1746149933321.0,24.132,0,4,1
67f5bb69760b211cdfe8021c,reading-task-tabular-4,jsonc,Bob,1746149943180.0,1746149982477.0,39.297,0,Bob,1
