participantId,task,format,response,start_time,end_time,duration_sec,help_count
64457bc906c125cebd4bf66b,reading-task-tabular-1,json5,9,1746560020255,1746560035079,14.824,0
64457bc906c125cebd4bf66b,reading-task-tabular-2,json5,quiz2,1746560041376,1746560113842,72.466,0
64457bc906c125cebd4bf66b,reading-task-tabular-3,json5,4,1746560124736,1746560149342,24.606,0
64457bc906c125cebd4bf66b,reading-task-tabular-4,json5,Bob,1746560157160,1746560183570,26.41,0
64457bc906c125cebd4bf66b,reading-task-tabular-5,json5,['Eve'],1746560189284,1746560285710,96.426,0
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-1,hjson,87,1745932019678,1745932085734,66.056,0
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-2,hjson,quiz2,1745932093752,1745932180509,86.757,0
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-3,hjson,4,1745932198203,1745932225018,26.815,0
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-4,hjson,Bob,1745932235588,1745932265601,30.013,0
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular-5,hjson,"['Bob', 'Eve']",1745932275492,1745932558730,283.238,0
67e25388d573ec2d5f1c8442,reading-task-tabular-1,yaml,87,1746146460986,1746146564264,103.278,0
67e25388d573ec2d5f1c8442,reading-task-tabular-2,yaml,quiz1,1746146571775,1746146663763,91.988,0
67e25388d573ec2d5f1c8442,reading-task-tabular-3,yaml,4,1746146670830,1746146712838,42.008,0
67e25388d573ec2d5f1c8442,reading-task-tabular-4,yaml,Bob,1746146717813,1746146761811,43.998,0
67e25388d573ec2d5f1c8442,reading-task-tabular-5,yaml,"['Bob', 'Alice']",1746146768133,1746146822026,53.893,0
67e5cf90b79d0874e1cf16b0,reading-task-tabular-1,toml,87,1746144743732,1746145134356,390.624,0
67e5cf90b79d0874e1cf16b0,reading-task-tabular-2,toml,quiz2,1746145142676,1746145567173,424.497,0
67e5cf90b79d0874e1cf16b0,reading-task-tabular-3,toml,4,1746145576436,1746145610847,34.411,0
67e5cf90b79d0874e1cf16b0,reading-task-tabular-4,toml,Bob,1746145614451,1746145664079,49.628,0
67e5cf90b79d0874e1cf16b0,reading-task-tabular-5,toml,"['Bob', 'Alice']",1746145671931,1746145741814,69.883,0
67d00f24466a67ba7e41228e,reading-task-tabular-1,toml,87,1745930068030,1745930169407,101.377,0
67d00f24466a67ba7e41228e,reading-task-tabular-2,toml,quiz2,1745930176214,1745930322202,145.988,0
67d00f24466a67ba7e41228e,reading-task-tabular-3,toml,4,1745930326486,1745930380081,53.595,0
67d00f24466a67ba7e41228e,reading-task-tabular-4,toml,Bob,1745930384273,1745930487581,103.308,0
67d00f24466a67ba7e41228e,reading-task-tabular-5,toml,['Eve'],1745930492806,1745930597246,104.44,0
66475d6f7b27e4443ef0d031,reading-task-tabular-1,json,87,1744921264863,1744921364727,99.864,0
66475d6f7b27e4443ef0d031,reading-task-tabular-2,json,quiz2,1744921373275,1744921392962,19.687,0
66475d6f7b27e4443ef0d031,reading-task-tabular-3,json,4,1744921396937,1744921411248,14.311,0
66475d6f7b27e4443ef0d031,reading-task-tabular-4,json,Bob,1744921416628,1744921440035,23.407,0
66475d6f7b27e4443ef0d031,reading-task-tabular-5,json,"['Bob', 'Alice']",1744921444515,1744921474164,29.649,0
6672d878f68b9e349b56e871,reading-task-tabular-1,toml,87,1746144243981,1746144348878,104.897,0
6672d878f68b9e349b56e871,reading-task-tabular-2,toml,quiz2,1746144358172,1746144438742,80.57,0
6672d878f68b9e349b56e871,reading-task-tabular-3,toml,4,1746144457639,1746144570801,113.162,0
6672d878f68b9e349b56e871,reading-task-tabular-4,toml,Bob,1746144580314,1746144715207,134.893,0
6672d878f68b9e349b56e871,reading-task-tabular-5,toml,"['Bob', 'Alice']",1746144722404,1746144850362,127.958,0
67f5bb69760b211cdfe8021c,reading-task-tabular-1,jsonc,87,1746149829980,1746149858304,28.324,0
67f5bb69760b211cdfe8021c,reading-task-tabular-2,jsonc,quiz2,1746149867264,1746149900161,32.897,0
67f5bb69760b211cdfe8021c,reading-task-tabular-3,jsonc,4,1746149909189,1746149933321,24.132,0
67f5bb69760b211cdfe8021c,reading-task-tabular-4,jsonc,Bob,1746149943180,1746149982477,39.297,0
67f5bb69760b211cdfe8021c,reading-task-tabular-5,jsonc,"['Bob', 'Alice']",1746149991246,1746150040179,48.933,0
67e571bef6af7ecd9c29ad72,reading-task-tabular-1,json,87,1746146271590,1746146454241,182.651,0
67e571bef6af7ecd9c29ad72,reading-task-tabular-2,json,quiz2,1746146462558,1746146549449,86.891,0
67e571bef6af7ecd9c29ad72,reading-task-tabular-3,json,4,1746146555178,1746146618215,63.037,0
67e571bef6af7ecd9c29ad72,reading-task-tabular-4,json,Bob,1746146623994,1746146712975,88.981,1
67e571bef6af7ecd9c29ad72,reading-task-tabular-5,json,['Bob'],1746146719107,1746146818581,99.474,0
60f1f1d4ac991a259b83f603,reading-task-tabular-1,json,87,1746231759216,1746231860140,100.924,0
60f1f1d4ac991a259b83f603,reading-task-tabular-2,json,quiz2,1746231868929,1746231959323,90.394,0
60f1f1d4ac991a259b83f603,reading-task-tabular-3,json,5,1746231969944,1746232018060,48.116,0
60f1f1d4ac991a259b83f603,reading-task-tabular-4,json,Bob,1746232030031,1746232075072,45.041,0
60f1f1d4ac991a259b83f603,reading-task-tabular-5,json,"['Bob', 'Alice']",1746232084637,1746232133317,48.68,0
678f0bb28ec3307e4f1afb78,reading-task-tabular-1,hjson,87,1746144649048,1746144777889,128.841,0
678f0bb28ec3307e4f1afb78,reading-task-tabular-2,hjson,quiz2,1746144788858,1746144825979,37.121,0
678f0bb28ec3307e4f1afb78,reading-task-tabular-3,hjson,4,1746144831929,1746144862276,30.347,0
678f0bb28ec3307e4f1afb78,reading-task-tabular-4,hjson,Bob,1746144869255,1746144950210,80.955,0
678f0bb28ec3307e4f1afb78,reading-task-tabular-5,hjson,"['Bob', 'Alice']",1746144955799,1746144997447,41.648,0
669b961e1c9cf30a26bb57d2,reading-task-tabular-1,xml,87,1746231885832,1746231971698,85.866,0
669b961e1c9cf30a26bb57d2,reading-task-tabular-2,xml,quiz2,1746231983907,1746232041463,57.556,0
669b961e1c9cf30a26bb57d2,reading-task-tabular-3,xml,4,1746232053392,1746232109877,56.485,0
669b961e1c9cf30a26bb57d2,reading-task-tabular-4,xml,Bob,1746232119027,1746232196350,77.323,0
669b961e1c9cf30a26bb57d2,reading-task-tabular-5,xml,"['Bob', 'Alice']",1746232203007,1746232255467,52.46,0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-1,json,87,1746145297782,1746145493584,195.802,0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-2,json,quiz2,1746145508125,1746145580806,72.681,0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-3,json,4,1746145596842,1746145647497,50.655,0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-4,json,Bob,1746145658082,1746145714670,56.588,0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-5,json,"['Alice', 'Bob']",1746145722310,1746145817769,95.459,0
66992f58a7964f557fc75f58,reading-task-tabular-1,toml,87,1744921372929,1744921831408,458.479,0
66992f58a7964f557fc75f58,reading-task-tabular-2,toml,quiz2,1744921835211,1744921850879,15.668,0
66992f58a7964f557fc75f58,reading-task-tabular-3,toml,4,1744921853340,1744923714570,1861.23,0
66992f58a7964f557fc75f58,reading-task-tabular-4,toml,Bob,1744923717438,1744923757129,39.691,0
66992f58a7964f557fc75f58,reading-task-tabular-5,toml,"['Bob', 'Alice']",1744923759913,1744924058275,298.362,0
60721c2da01b3a616edba9a7,reading-task-tabular-1,xml,77,1745930325234,1745930418504,93.27,0
60721c2da01b3a616edba9a7,reading-task-tabular-2,xml,quiz2,1745930426542,1745930479116,52.574,0
60721c2da01b3a616edba9a7,reading-task-tabular-3,xml,3,1745930484356,1745930534065,49.709,0
60721c2da01b3a616edba9a7,reading-task-tabular-4,xml,Bob,1745930542839,1745930673831,130.992,0
60721c2da01b3a616edba9a7,reading-task-tabular-5,xml,"['Bob', 'Alice']",1745930678646,1745930799027,120.381,0
673e43cc760355e9e4f042a3,reading-task-tabular-1,json5,87,1746562911603,1746562954231,42.628,0
673e43cc760355e9e4f042a3,reading-task-tabular-2,json5,quiz2,1746562960754,1746563031120,70.366,0
673e43cc760355e9e4f042a3,reading-task-tabular-3,json5,2,1746563035899,1746563094679,58.78,0
673e43cc760355e9e4f042a3,reading-task-tabular-4,json5,Bob,1746563098400,1746563139255,40.855,0
673e43cc760355e9e4f042a3,reading-task-tabular-5,json5,"['Alice', 'Bob']",1746563144314,1746563201119,56.805,0
60a0b744298c64d46b63e893,reading-task-tabular-1,hjson,87,1746521854362,1746521899651,45.289,0
60a0b744298c64d46b63e893,reading-task-tabular-2,hjson,quiz2,1746521905318,1746522013919,108.601,0
60a0b744298c64d46b63e893,reading-task-tabular-3,hjson,4,1746522018222,1746522074667,56.445,0
60a0b744298c64d46b63e893,reading-task-tabular-4,hjson,Bob,1746522080828,1746522109748,28.92,0
60a0b744298c64d46b63e893,reading-task-tabular-5,hjson,"['Bob', 'Alice']",1746522117498,1746522187792,70.294,0
67dc19c31078d1581e39e75a,reading-task-tabular-1,yaml,77,1746144234390,1746144301825,67.435,0
67dc19c31078d1581e39e75a,reading-task-tabular-2,yaml,quiz2,1746144309291,1746144359952,50.661,0
